Relatos,Relatos_Traduzidos
"  Acredito que, nesses tempos de pandemia, o ensino remoto é uma grande oportunidade para que os estudantes continuem com seu aprendizado. Sinto que irei adquirir bastante conhecimento com esta modalidade, mesmo que eu particularmente prefira aulas presenciais. Espero ter um bom ano letivo.","I believe that, in these times of pandemic, remote teaching is a great opportunity for students to continue with their learning.I feel that I will acquire a lot of knowledge with this modality, even if I particularly prefer face-to-face classes.I hope to have a good school year."
"Tendo em vista a pandemia do novo corona vírus, tornou-se necessária a
mudança de vários hábitos que tínhamos anteriormente e algumas atividades que
estávamos acostumados a realizar tiveram que ser substituídas por outras que
garantissem maior segurança à nossa saúde, entre elas o ensino remoto. Acredito que
o ensino remoto nos ajudará a continuar estudando sem maiores problemas, já que a
tecnologia nos ajuda na comunicação, no uso de ferramentas para ensino, na rapidez,
entre outras coisas.
Alguns pontos negativos serão enfrentados por nós durante o período de
ensino remoto, como a falta da experiência social proporcionada pelo ensino
presencial e as práticas em conjunto em laboratórios, por exemplo, mas minhas
expectativas são positivas e acredito que conseguiremos enfrentar os problemas e
assim obtermos um bom desempenho nas aulas remotas.","In view of the pandemic of the new Corona Virus, it has become necessary to
change from several habits we had previously and some activities that
we were accustomed to performing had to be replaced by others
guaranteed greater security for our health, among them remote education.I believe that
Remote teaching will help us continue studying without major problems, as
Technology helps us in communication, in the use of tools for teaching, in the speed,
Among other things.
Some negative points will be faced by us during the
remote education, such as the lack of social experience provided by
face-to-face and practices together in laboratories, for example, but my
expectations are positive and believe that we will be able to face problems and
So we get good performance in remote lessons."
"O ensino remoto para mim apresenta seus prós e contras, dificulta um pouco o aprendizado, porém facilita na apresentação de trabalhos para alunos que sejam mais tímidos, como eu. ","Remote teaching for me presents their pros and cons, makes learning a little, but facilitates the presentation of work for students who are more timid, like me."
"Pretendo aprender coisas novas, evoluir, tenho expectativas boas quanto ao ensino remoto, o ensino remoto é mais rápido, fácil e não é tão complicado.","I intend to learn new things, evolve, have good expectations regarding remote education, remote teaching is faster, easy and not so complicated."
"Terminei o ensino médio ano passado, acredito que seja de conhecimento de todos,  foi realizado em ensino remoto, portanto, já tenho uma base do que se passa. Espero poder ter aprendizado em uma margem parecida com presencial, ver os professores e alunos interagirem de forma que todos tenham suas dúvidas solucionadas, e que de tal forma, possamos concluir com maestria todos os periodos, superando o momento difícil, e encarando de frente todas essas inovações que vem trazendo o ensino não presencial. ","I finished high school last year, I believe that it is knowledge of all, was carried out in remote education, so I already have a base of what is happening.I hope to have learned on a face-to-face margin, see teachers and students to interact in a way that everyone has their questions solved, and that in such a way, we can conclude with mastery all periods, surpassing the difficult time, and facing allThese innovations that have been bringing non-face-to-face teaching."
"Bom, me sinto ansiosa e incerta quanto ao ensino remoto, pois não tenho muito conhecimento nesta modalidade de ensino, acho um pouco confuso quanto aos e-mails e informações dadas até o momento mais acredito que isso ira melhorar ao passar do tempo e irei me acostumar.
Observei que o planejamento e as ferramentas usadas até o momento para as atividades remotas foram muito bem organizadas e explicadas  diferente da minha antiga escola, o que me deixa mais tranquila em relação ao ensino, mas espero voltarmos em breve para as atividades presenciais.","Well, I feel anxious and uncertain about remote education, because I do not have much knowledge in this teaching modality, I find a little confusing about the emails and information given until the moment I believe that this will improve during time and I willAccuming.
I noticed that the planning and tools used so far for remote activities were very well organized and explained different from my old school, which makes me quieter in relation to teaching, but I hope to return soon for face-to-face activities."
"Eu espero que o ensino remoto seja bem produtivo, que eu consiga adquirir novos conhecimento em todas as disciplinas, que eu possa sanar o máximo de dúvidas possíveis, que traga esclarecimento e aprendizado afim de promover enriquecimento intelectual.

Tenho consciência de que estamos vivendo em tempos difíceis e que tais objetivos podem ser complicados de se pôr em prática, mas creio que com o auxílio da instituição e seus professores e de meu empenho, enquanto aluna, será possível ultrapassarmos essa barreira juntos.

Quanto a minha opinião acerca dessa modalidade de ensino, diria que será desafiador e exigirá, não apenas de mim, muita resiliência, porém em virtude do atual momento em que vivemos, é o meio mais seguro que viabiliza a continuidade da aprendizagem e nos mantém em contato com a mesma.","I hope that remote teaching is very productive, which I can acquire new knowledge in all disciplines, which I can heal the most possible doubts, which brings clarification and learning in order to promote intellectual enrichment.

I am aware that we are living in difficult times and that such objectives can be complicated to put into practice, but I believe that with the help of the institution and their teachers and my commitment, while a student, it will be possible to overtake this barrier together.

As for my opinion on this modality of teaching, I would say that it will be challenging and will require, not only of me, a lot of resilience, but by virtue of the current moment in which we live, it is the safest means that enables the continuity of learning and maintainscontact with it."
"Esse tipo de ensino é novo pra mim, mas creio que nos sairemos tão bem quanto no ensino presencial. Estou com boas expectativas. Claro que seria muito bom se fosse presencial, mas com a atual situação de pandemia, infelizmente não acho que voltaremos tão cedo. Contudo, enquanto isso não acontece vamos aproveitar o ensino remoto. Querendo ou não é uma nova experiência. ","This kind of teaching is new to me, but I believe that we will leave as well as in face-to-face teaching.I have good expectations.Of course it would be very good if it were face-to-face, but with the current pandemic situation, unfortunately I do not think we'll be back soon.However, while this does not happen let's take advantage of remote teaching.Whether or not it is a new experience."
"Acho muito importante, como não podemos assistir aula precisencialmente, e uma forma adequada de ensino. Mas podemos ver uma falta de entusiasmos pelos alunos que geralmente só deixam as aulas rodando no aparelho e ficam fazendo outras coisas. Na minha opinião pra esse ser um método mas aceitável todos devem colaborar pra aprender e ensinar.","I find it very important, as we can not attend less class, and an adequate form of teaching.But we can see a lack of enthusiasm for students who usually only leave classes turning on the device and doing other things.In my opinion for this being a method but acceptable everyone should collaborate to learn and teach."
"Espero que mesmo com as dificuldades do ensino remoto eu consiga adquirir o conhecimento que preciso para uma boa formação. Tenho ótimas perspectivas para o futuro, pois sei que no Instituto há ótimos técnicos e profissionais que nos ajudaram em nossa jornada por busca de novos conhecimentos.
","I hope that even with the difficulties of remote teaching I can acquire the knowledge I need for good training.I have great perspectives for the future, because I know that at the Institute there are great technicians and professionals who helped us on our journey by searching for new knowledge."
"Eu espero que seja muito bom, de muito proveito, pois sei que não está sendo fácil, tanto pros alunos, quanto pros professores o ensino a distância, pois não é a mesma coisa do ensino presencial, não podemos interagir pessoalmente uns com os outros e também muitos alunos não tem acesso a uma internet boa, etc.  Mas creio que será um ótimo ensino e um ótimo ano.","I hope it is very good, of much profit, because I know it is not being easy, both pros, and for teachers distance teachers, because it is not the same in the face-to-face teaching, we can not personally interact with each other andAlso many students do not have access to a good internet, etc.But I believe it will be a great teaching and a great year."
"As minhas expectativas são boas, tenho a esperança que vamos nos acostumar rápido com esse modelo de ensino, por mais que não seja a mais eficaz é a única que temos acesso no momento, então teremos que nos esforçar e esperar que as aulas presenciais voltem com todo o cuidado e organização,","My expectations are good, I hope that we are going to get used quickly with this teaching model, however much it is not the most effective is the only one we have access at the moment, then we will have to strive and expect that face-to-face classes come back withall care and organization,"
"   O ensino é muito bom e a forma de ensino é muito organizada, porém são vários conteúdos lançados de uma vez só para os alunos, e muitas vezes o Google Classroom  não está em todas as salas, mas o nível de ensino é altíssimo só elogios a forma de ensino.","Teaching is very good and the form of teaching is very organized, but there are several contents released at once only for students, and often google classroom is not in all rooms, but the level of education is very high only praiseform of teaching."
"Eu acho um pouco difícil pois nós não temos contato direto com o professor para sanar dúvidas e em algumas matérias como Matemática e Português é essencial, não gosto muito pois é mais fácil de se distrair e mais difícil de aprender.","I find it a little difficult because we do not have direct contact with the teacher to heal doubts and in some matters as mathematics and Portuguese is essential, I do not like much because it is easier to distract and more difficult to learn."
"Os ensino remoto mesmo sendo uma coisa que nos alunos nunca tínhamos participidado, acabou se tornando cotidiano pra nós, então de certa forma com o passar do tempo fomos nos adaptando, e com isso as ferramentas de ensino para tais atividades acabaram se tornando fáceis para o nosso uso. ","The remote teaching even being one thing that in the students we had never participated, ended up becoming everyday for us, so in a certain way over time we went adapting, and with this the teaching tools for such activities ended up becoming easy forOur use."
"ESPERO QUE AS AULAS SEJAM PRODUTIVAS ASSIM COMO NO PRESENCIAL E QUE O ACESSO ACONTEÇA DE FORMA SIMPLES E FACÍCL, PROPOCIONANDO UMA BOA APRENDIZAGEM.","I hope the classes are productive as well as in the face-to-face and that access happens simply and faciques, propocating good learning."
"   Sabendo que o ano 2020 foi desafiador por conta da pandemia do novo COVID-19, com as aulas remotas não foi diferente. Sendo obrigatório o novo meio de ensino e aprendizagem, para o nosso próprio bem, acredito que apesar de tudo estamos conseguindo ter diferentes experiências, tanto no meio tecnológico, quanto no aumento das responsabilidades, pois temos que criar horários que se encaixam nas rotinas ambientais.
   Para recuperar o que foi perdido devemos nos esforçar cada vez mais, pois além das questões educacionais, também estão ocorrendo muitos problemas psicológicos, levando em conta tantas perdas, medos, inseguranças, entre outras negatividades que acompanha-nos há mais de um ano.
   Então, espero que em 2021, que até agora ainda será utilizado o meio remoto para ensino, que tenhamos boas relações, acima de tudo companheirismo, cumplicidade e respeito com todos que estão fazendo parte desse momento tão desafiador. Tendo a esperança de dias melhores e a volta das aulas presenciais. Também, como aluna ingressante do curso Integrado de Edificações, tenho a expectativa de novos aprendizados e ter a facilidade de uso dos sites e recursos para estudo.","Knowing that the year 2020 was challenging because of the pandemic of the new Covid-19, with remote lessons was no different. Being obligatory the new means of teaching and learning, for our own good, I believe that despite all we are able to have different experiences, both in the technological environment and in increasing responsibilities, since we have to create schedules that fit the environmental routines.
   To recover what was lost we must be struggling more and more, because in addition to educational issues, many psychological problems are also occurring, taking into account so many losses, fears, insecurities, among other negativities that accompany us for more than a year.
   So I hope that in 2021, that up to now will still be used the remote medium for teaching, which we have good relationships, above all fellowship, complicity and respect with all who are being part of that moment so challenging. Having the hope of better days and the return of face-to-face classes. Also, as an Integrated Course Student of Buildings, I have the expectation of new learning and have the ease of use of the sites and resources for study."
"      As atividades não presenciais foram empregadas para que os alunos não fossem tão  prejudicados durante a pandemia que vivemos nesse momento, e está sendo um período delicado para todos os alunos e professores. Mas pessoalmente eu não gosto muito das aulas online, principalmente pelo fato de os alunos terem menos contato com os cadernos e com a escrita feita a mão. Esses recursos que são muito utilizados na forma presencial são indispensáveis para o aprendizado e melhor fixação do conteúdo, então, uma das minhas sugestões para o ensino a distância é que durante as atividades síncronas os professores nos dêem momentos para para fazer anotações sobre as aulas, por exemplo. 
     Outro ponto negativo que eu vejo é que alguns professores explicam um conteúdo novo,  passam as atividades e não acompanham o aluno numa primeira resolução de dúvidas, e isso  me deixa bastante chateada, pois é tirando dúvidas também que assimilamos melhor os assuntos, como já dizia Albert Einstein, '' Não são as respostas que movem o mundo, são as perguntas''.                                                                                                                               
     Então eu como discente acho fundamental a resolução das atividades junto com os(as) professores (as).E não, eu não pretendia reclamar tanto, mas todos os pontos que eu frisei, acho que são muito válidos e que fundamentos que eram muito utilizados na modalidade  presencial que podem ser muito bem aceitos se forem adaptados a forma remota.","Non-face-to-face activities were employed so that students were not so harmed during the pandemic we live at that time, and is being a delicate period for all students and teachers. But personally I do not really like online classes, especially because students have less contact with notebooks and handwriting. These features that are widely used in the face-to-face form are indispensable for learning and best fixing of content, then one of my suggestions for distance learning is that during synchronous activities teachers give us moments to make annotations on classes, for example.
     Another negative point I see is that some teachers explain new content, they spend the activities and do not accompany the student in a first resolution of doubts, and this makes me quite upset, because it is taking doubts as well that I assimilate the subjects better, as it already said Albert Einstein, '' are not the answers that move the world, are the questions ''.
     So I as a student I find fundamental resolution of the activities along with the teachers (AS). And no, I did not intend to complain so much, but all the points I fried, I think they are very valid and what fundamentals that were widely used In the face-to-face mode that can be very well accepted if they are adapted the remote form."
"Ao meu ver o ensino remoto facilita em muitos aspectos a lecionagem pois traz velocidade de comunicação junto a falta da necessidade de um espaço físico no qual as pessoas se encontrem. Porém o mesmo ensino remoto também traz alguns desafios na aprendizagem, visto que ele dificulta o gerenciamento das atividades pelos estudantes e muitas vezes proporciona o sobrecarregamento dos mesmos.","In my view remote education facilitates in many respects the teaching because it brings communication speed alongside the lack of the need for a physical space in which people are.But the same remote education also brings some challenges in learning, since it makes it difficult to manage students' activities and often provides overloading them."
"Observando o cenário pandêmico, o governo destinou como medida a modalidade EAD – Ensino a Distância, como novo método de aprendizagem, visando assim uma maior segurança tanto para os alunos como para os professores. Em 2020, iniciei o 9º ano presencialmente, mas com a chegada do vírus meu antigo colégio optou por aulas de forma remota, foi bem difícil me adaptar a essa modalidade, pois não teria mais todo aquele suporte que tinha frente a frente com o professor(a), a motivação de estudar com os colegas e tantas outras coisas que sinto falta hoje em dia. Apesar de tamanha dificuldade o EAD também me trouxe algumas vantagens, como a da localização já que não moro em Cajazeiras.
      Tendo em vista os aspectos observados eu gostaria de concluir meu ensino médio presencialmente, mas como por enquanto isso não está sendo possível eu espero que na volta as aulas de 2021 eu consiga aprender mais do que as do ano passado, me adaptando facilmente ao ensino médio remoto, superando minhas metas e me esforçando muito para que tudo que planejei de certo. 
","Observing the pandemic scenario, the government intended as a measure the EAD - distance teaching modality as a new method of learning, thus aiming for greater security for both students and teachers. In 2020, I began the 9th year in person, but with the arrival of the virus my old college opted for lessons in a remote way, it was very difficult to adapt to this modality, because I would not have all that support that had face to face with the teacher ( a), the motivation of studying with colleagues and so many other things I miss today. Despite such difficulty the EAD also brought me some advantages, such as the location since I do not live in Cajazeiras.
      In view of the observed aspects I would like to conclude my high school in person, but as for now it is not being possible I hope that on the return the classes of 2021 I can learn more than those last year, easily adapting to high school Remote, overcoming my goals and struggling hard for everything I planned right."
"Embora seja uma modalidade um pouco complicada no quesito aprendizagem, minha expectativa é que seja simples de utilizar e que as explicações e conteúdos possam ser o mais claro possível.","Although it is a slightly complicated mode in the learning issue, my expectation is that it is simple to use and that explanations and content can be as clear as possible."
"Com certeza não é a mesma coisa que o ensino presencial, porém não é algo muito difícil de lidar,  requer um pouco mais de dedicação e atenção, até porque online é mais fácil de se distrair com algo, ou não conseguir prestar atenção na aula, mas nada que um pouco de esforço não resolva. As plataformas utilizadas são fáceis de usar, e não são tão complicadas quanto parecem.","It is certainly not the same as face-to-face teaching, but it is not something very difficult to deal with, requires a little more dedication and attention, even because online is easier to distract with something, or can not pay attention to class,But nothing that a little effort does not solve.The platforms used are easy to use, and are not as complicated as they seem."
"O que espero sobre como será a aprendizagem pelo ensino remoto? Espero que tenhamos um bom acompanhamento, formas de que a distância não afete tanto, apenas vou fazer com que eu consiga, irei dar o meu melhor, mas, precisarei de ajuda, que todos na instituição (alunos e professores) se ajudem, se não, quem sabe o que pode acontecer.","What do I expect about how learning for remote teaching will be?I hope we have a good follow-up, ways that the distance does not affect so much, I will only make me get, I will give my best, but I will need help, that everyone in the institution (students and teachers) are helped, if not, who knows what can happen."
"Espero que pelo ensino remoto consiga aprender muitos assuntos e repor conteúdos não estudados na série anterior. Eu tenho uma Internet que cai muitas vezes no mês,estou contando para que não seja um empecilho para mim em questão de aula ao vivo .

Está modalidade de ensino para mim é um pouco difícil pela questão de eu ser meio lenta para aprender conteúdo sempre tenho muitas dúvidas para serem tiradas. 
Tenho expectativas elevadas em questão da forma de aprendizagem,que seja rápida e prática de serem interpretadas e compreendidas sem palavras ou termos difíceis . 
","I hope that by remote education can learn many subjects and replenish contents not studied in the previous series.I have an internet that falls many times in the month, I'm telling you not to be a hindrance for me in a matter of live class.

This teaching mode for me is a bit difficult for the issue of being a bit slow to learn content I always have many doubts to be taken.
I have high expectations in question of the form of learning, which is rapid and practical to be interpreted and understood without difficult words or terms."
"Bom, estou bastante empolgada para fazer parte do IFPB, mas confesso que é um pouco difícil de lidar com as aulas não presenciais, até porque a aprendizagem não é do mesmo jeito, mas espero que mesmo com a dificuldade o ano seja bem proveitoso. Também estou empolgada para estudar sobre o curso, que no meu caso é o de edificações, e aprender muito sobre ele. E principalmente desejo que essa pandemia acabe logo para que todos nós possamos voltar as aulas presenciais com muita saúde e animação. ","Well, I'm pretty excited to be part of the IFPB, but I confess it's a bit difficult to deal with non-face-to-face classes, even because learning is not the same, but I hope even with the difficulty the year is very profitable.I am also excited to study about the course, which in my case is the buildings, and learn a lot about it.And especially I want this pandemic to end it soon for us all to return to face-to-face classes with great health and animation."
"Ao meu ver as atividades  não presenciais estão sendo bem precisas e nos é favorável, olhando pelo ponto de vista do que estamos passando. Porém, nos impedem que de certa forma possamos ir além. Pois, nada melhor que estarmos em uma sala de aula com o contato físico do calor humano e, trocando mais idéias sobre os conhecimentos que precisamos adquirir.","In my view the non-face-to-face activities are being very precise and is favorable, looking from the point of view of what we are going through.However, they prevent us from a way to go beyond.For nothing better than being in a classroom with the physical contact of human heat and, exchanging more ideas about the knowledge we need to acquire."
"Não tenho memórias boas em relação ao ensino remoto no geral; não aprendi ao menos 50% dos conteúdos que foram passados para mim em 2020. Devido ao meu estado mental eu acabei desistindo de mim no ano passado, mas espero que esse ano eu me dê uma chance para aprender com vocês. ","I do not have good memories in relation to remote education in general;I did not learn at least 50% of the contents that were passed to me in 2020. Due to my mental state I ended up giving up on me last year, but I hope this year I give me a chance to learn from you."
"Eu acho que o ensino não presenciais e bom pela uma parte, e ruim pela a outra, por que não podemos esta numa sala de aula, mais acho bom que vamos poder ter aulas on-line pra desenvolver o aprendizado e aprender...","I think teaching non-face-to-face and good for a part, and bad for the other, because we can not be in a classroom, but I think we can have classes online to develop learning and learn ..."
"     O ensino remoto não vem facilitando para ambos, tanto alunos como professores vem sofrendo com esse tipo de ensino por conta de dificuldades pessoais como a ausência de internet ou aparelhos eletrônicos.
     Muitos professores não facilitam muito, pois passam muitas atividades de uma só vez, dando assim pouco prazo para resposta.
     Como não temos muitos outros meios de estudo, o ensino remoto deve substituir o presencial por pouco tempo, pois com o tempo algumas medidas devem ser tomadas para a volta das aulas presenciais.","Remote teaching has not been facilitating for both, both students as teachers has been suffering from this type of teaching because of personal difficulties such as the absence of Internet or electronic devices.
     Many teachers do not make it much easier because there are many activities at one time, giving so little term for response.
     As we do not have many other means of study, remote teaching should replace the face-to-face for a short time, since with time some measures should be taken for the return of face-to-face classes."
"A expectativa é grande sobre o ensino remoto,já que esse estilo de ensino é diferente do que estamos acostumados, mas espero aprender da mesma forma ","The expectation is great about remote education, since this style of teaching is different from what we are accustomed, but I hope to learn the same way"
"Confesso que ainda não estou bem acostumado com o ensino remoto, mais aos poucos vamos se acostumando. Minhas expectativas é que vai da tudo certo, a escola facilita muito o ensino, dando o seu melhor, com (Professores, diretores etc.) ","I confess that I am not yet well accustomed to remote education, but gradually let's get accustomed.My expectations are that everything goes well, school makes teaching a lot, giving your best, with (teachers, directors, etc.)"
"Espero a dificuldade do ensino remoto, quanto a falta presencial das aulas, contudo , acredito na capacidade dos professores e de suas metodologias de ensino","I expect the difficulty of remote education, as to the face-to-face of classes, however, I believe in the capacity of teachers and their teaching methodologies"
