Relatos,Relatos_Traduzidos,Relatos_tokenizados,Relatos_Traduzidos_Lematizados,Relatos_com_SentiStrength
"    As minhas sinceras expectativas ao ensino a distância no IFPB (AENP), são que com a utilização das plataformas do Google como: o Class Room e o Meet, possamos ter aulas bastante interativas e que nos forneça bastante conhecimento. Para que o ensino remoto não prejudique a educação dos alunos.
    Eu particularmente prefiro as aulas presencias pelo contato ser mais direto com os professores, assim facilitando o aprendizado.
    Enfim espero que com a tecnologia possamos estudar até que a Instituição IFPB volte presencialmente com as aulas.
","My sincere expectations for distance learning in IFPB (AENP), are that with the use of google platforms such as: the class room and the Meet, we can take rather interactive classes and that provides us with a lot of knowledge.So that remote education does not prejudice the education of students.
    I particularly prefer the classes for the contact to be more direct with the teachers, thus facilitating learning.
    Finally I hope that with the technology we can study until the IFPB institution will come in person with classes.",my sincere expectations distance learning ifpb aenp use google platforms class room meet take rather interactive classes provides us lot remote education prejudice education students i particularly prefer classes contact direct teachers thus facilitating learning finally i hope technology study ifpb institution come person classes ,my sincere expectations distance learning ifpb aenp use google platforms class room meet take rather interactive classes provides us lot remote education prejudice education students i particularly prefer classes contact direct teachers thus facilitating learning finally i hope technology study ifpb institution come person classes ,0
"Bom,as minhas expectativas são bem altas enquanto ao ensino remoto,pois apesar de ser bem difícil lidar com a falta de aulas presencias,o ensino remoto é a melhor forma de estudo utilizado em meio a pandemia,enfim espero que eu consiga ter um grau de aprendizagem igualmente como se estivesse nas aulas presencias.","Well, my expectations are very high while at remote education, because despite being very difficult to deal with the lack of classes presence, remote teaching is the best form of study used amid the pandemic, anyway I hope I can have a degreeLearning equally as if in the presence classes.",well expectations high remote education despite difficult deal lack classes presence remote teaching best form study used amid pandemic anyway i hope i degreelearning equally presence classes ,well expectations high remote education despite difficult deal lack classes presence remote teaching best form study used amid pandemic anyway i hope i degreelearning equally presence classes ,1
"No momento atual será a única forma viável de prosseguir com os estudos, portanto tudo que é ""novo"" causa receio. Imagino que será algo bastante desafiador para ambas as partes. Visto que é uma medida temporária que foi tomada, para minimizar os impactos da pandemia no que se refere ao âmbito acadêmico. Sendo assim, sigo confiante pelo fato de ver a instituição trabalhando de forma intensa para garantir a educação dos seus alunos. Sinto-me seguro por confiar na instituição, que não deixará que nosso rendimento tenha um déficit","At the present time it will be the only viable way to proceed with studies, so all that is ""new"" cause fears.I imagine it will be quite challenging for both parties.Since it is a temporary measure that was taken, to minimize the impacts of the pandemic with regard to the academic scope.So I follow confident by seeing the institution working intensely to ensure the education of their students.I feel safe for trusting the institution, which will not let our income have a deficit",at present time viable way proceed studies new cause imagine quite challenging temporary measure taken minimize impacts pandemic regard academic i follow confident seeing institution working intensely ensure education feel safe trusting institution let income deficit ,at present time viable way proceed studies new cause imagine quite challenging temporary measure taken minimize impacts pandemic regard academic i follow confident seeing institution working intensely ensure education feel safe trusting institution let income deficit ,0
"Bom, início dizendo que estava bastante ansioso para a volta às aulas, porém lamentando muito o fato de que, devido à pandemia, não  poderemos iniciar o ano letivo com aulas presenciais. 
    Minhas expectativas em relação ao início das aulas são as melhores possíveis, tendo em vista que irei conhecer tanto matérias novas, como professores novos. Porém, mesmo animado com tudo isso, confesso não gostar do ensino remoto, e acredito que devido à esse método de ensino, esse será um ano trabalhoso e bastante cansativo. 
","Well, beginning that he was quite anxious to return to class, but greatly regretting the fact that, due to the pandemic, we can not start the school year with face-to-face classes.
    My expectations regarding the beginning of classes are the best possible, considering that I will know both new subjects, as new teachers.However, even excited about all this, I confess not to like remote education, and I believe that because of this method of teaching, this will be a yearful year and quite tiring.",well beginning quite anxious return class greatly regretting fact due pandemic start school year classes my expectations regarding beginning classes best possible considering i know new subjects new even excited i confess like remote education i believe method teaching yearful year quite tiring ,well beginning quite anxious return class greatly regretting fact due pandemic start school year classes my expectations regarding beginning classes best possible considering i know new subjects new even excited i confess like remote education i believe method teaching yearful year quite tiring ,0
"Tenho como expectativa no ensino remoto, poder me comunicar, compartilhar conhecimento e aprender com os professores, de forma que seja o mais proveitoso possível, com perdas mínimas ou nulas de qualidade com base no ensino presencial.

Mesmo passando por dificuldades em meio a pandemia, tenho como objetivo contornar essa situação, me qualificar e usufruir do máximo possível desse modelo de ensino não presencial.
","I have as expected in remote education, to communicate, share knowledge and learn from teachers, so that it is as useful as possible, with minimum or null quality losses based on face-to-face education.

Even though difficulties in the pandemic, I aim to circumvent this situation, qualify and enjoy the maximum possible of this non-face-to-face teaching model.",i expected remote education communicate share knowledge learn teachers useful possible minimum null quality losses based education even though difficulties pandemic i aim circumvent situation qualify enjoy maximum possible teaching model ,i expected remote education communicate share knowledge learn teachers useful possible minimum null quality losses based education even though difficulties pandemic i aim circumvent situation qualify enjoy maximum possible teaching model ,0
"Enquanto só ensino remoto as minhas expectativas são as melhores possíveis,apesar de preferir o ensino presencial,pretendo prestar bastante atenção nas aulas e em caso de dúvidas procurarei pesquisar ou relatá-la com colegas ou professores.","While only remote education my expectations are the best possible, despite preferring face-to-face teaching, I intend to pay close attention to classes and in case of doubts I will seek to research or report it with colleagues or teachers.",while remote education expectations best possible despite preferring teaching i intend pay close attention classes case doubts i seek research report colleagues teachers ,while remote education expectations best possible despite preferring teaching i intend pay close attention classes case doubts i seek research report colleagues teachers ,0
"Eu prefiro as atividades presenciais, acredito que no ensino presencial conseguimos manter mais a nossa atenção e entender mais o conteúdo, do que na forma online, eu me sinto nervosa e com medo de não conseguir me concentrar o suficiente nas aulas, mas darei o meu melhor para que eu consiga compreender o conteúdo.","I prefer to face-to-face activities, I believe that in the face-to-face teaching we managed to keep our attention more and understand more content, than in the online form, I feel nervous and afraid of not being able to concentrate enough in class, but I will give mineBest so I can understand the content.",i prefer activities i believe teaching managed keep attention understand content online form i feel nervous afraid able concentrate enough class i give minebest i understand content ,i prefer activities i believe teaching managed keep attention understand content online form i feel nervous afraid able concentrate enough class i give minebest i understand content ,-4
"Espero ter ensino de qualidade, onde a aprenda coisas novas e legais apesar da dificuldade ","I hope to have quality teaching, where you learn new and legal things despite the difficulty",i hope quality teaching learn new legal things despite difficulty ,i hope quality teaching learn new legal things despite difficulty ,1
"Sou do curso de informática, tenho bastante dúvidas mais eu estou achando bom a pensar de ser um pouco difícil de fazerem as coisas pelo o cllr a tecnológica hoje em dia mais enfim espero conseguir tirar todas as minhas dúvidas.","I am from the computer course, I have a lot of doubt more I am finding good to think of being a bit difficult to do things for the CLLR the technological today anymore I hope to get all my doubts.",i computer course i lot doubt i finding good think bit difficult things cllr technological today anymore i hope get doubts ,i computer course i lot doubt i finding good think bit difficult things cllr technological today anymore i hope get doubts ,1
"Eu estava ansiosa pra ser presencial mais nesse momento de pandemia não será possível, como sou nova esse ano queria conhecer a escola e os professores mais infelizmente não vai ser possível, espero que seja um ano letivo de conhecer coisas novas e aprender muito, ","I was anxious to be face-to-face more in this moment of pandemic will not be possible, as I am new this year I wanted to meet the school and the teachers more unfortunately will not be possible, I hope it is a school year to meet new things and learn a lot",i anxious moment pandemic possible i new year i wanted meet school teachers unfortunately possible i hope school year meet new things learn lot ,i anxious moment pandemic possible i new year i wanted meet school teachers unfortunately possible i hope school year meet new things learn lot ,0
"     Minhas expectativas para o ensino remoto é que eu consiga ter um bom desempenho, tirar minhas dúvidas e aprender muito . As aulas não presenciais são um pouco difíceis para ter concentração , mas com dedicação da para ter um bom aprendizado.","My expectations for remote teaching is that I can get a good performance, take my doubts and learn a lot.Non-face-to-face classes are a bit difficult to concentrate, but with dedication to having a good learning.",my expectations remote teaching i get good performance take doubts learn classes bit difficult concentrate dedication good learning ,my expectations remote teaching i get good performance take doubts learn classes bit difficult concentrate dedication good learning ,0
"  Acredito que, nesses tempos de pandemia, o ensino remoto é uma grande oportunidade para que os estudantes continuem com seu aprendizado. Sinto que irei adquirir bastante conhecimento com esta modalidade, mesmo que eu particularmente prefira aulas presenciais. Espero ter um bom ano letivo.","I believe that, in these times of pandemic, remote teaching is a great opportunity for students to continue with their learning.I feel that I will acquire a lot of knowledge with this modality, even if I particularly prefer face-to-face classes.I hope to have a good school year.",i believe times pandemic remote teaching great opportunity students continue feel i acquire lot knowledge modality even i particularly prefer hope good school year ,i believe times pandemic remote teaching great opportunity students continue feel i acquire lot knowledge modality even i particularly prefer hope good school year ,2
"Tendo em vista a pandemia do novo corona vírus, tornou-se necessária a
mudança de vários hábitos que tínhamos anteriormente e algumas atividades que
estávamos acostumados a realizar tiveram que ser substituídas por outras que
garantissem maior segurança à nossa saúde, entre elas o ensino remoto. Acredito que
o ensino remoto nos ajudará a continuar estudando sem maiores problemas, já que a
tecnologia nos ajuda na comunicação, no uso de ferramentas para ensino, na rapidez,
entre outras coisas.
Alguns pontos negativos serão enfrentados por nós durante o período de
ensino remoto, como a falta da experiência social proporcionada pelo ensino
presencial e as práticas em conjunto em laboratórios, por exemplo, mas minhas
expectativas são positivas e acredito que conseguiremos enfrentar os problemas e
assim obtermos um bom desempenho nas aulas remotas.","In view of the pandemic of the new Corona Virus, it has become necessary to
change from several habits we had previously and some activities that
we were accustomed to performing had to be replaced by others
guaranteed greater security for our health, among them remote education.I believe that
Remote teaching will help us continue studying without major problems, as
Technology helps us in communication, in the use of tools for teaching, in the speed,
Among other things.
Some negative points will be faced by us during the
remote education, such as the lack of social experience provided by
face-to-face and practices together in laboratories, for example, but my
expectations are positive and believe that we will be able to face problems and
So we get good performance in remote lessons.",in view pandemic new corona virus become necessary change several habits previously activities accustomed performing replaced others guaranteed greater security health among remote believe remote teaching help us continue studying without major problems technology helps us communication use tools teaching speed among things some negative points faced us remote education lack social experience provided practices together laboratories example expectations positive believe able face problems so get good performance remote lessons ,in view pandemic new corona virus become necessary change several habits previously activities accustomed performing replaced others guaranteed greater security health among remote believe remote teaching help us continue studying without major problems technology helps us communication use tools teaching speed among things some negative points faced us remote education lack social experience provided practices together laboratories example expectations positive believe able face problems so get good performance remote lessons ,1
"O ensino remoto para mim apresenta seus prós e contras, dificulta um pouco o aprendizado, porém facilita na apresentação de trabalhos para alunos que sejam mais tímidos, como eu. ","Remote teaching for me presents their pros and cons, makes learning a little, but facilitates the presentation of work for students who are more timid, like me.",remote teaching presents pros cons makes learning little facilitates presentation work students timid like ,remote teaching presents pros cons makes learning little facilitates presentation work students timid like ,0
"Pretendo aprender coisas novas, evoluir, tenho expectativas boas quanto ao ensino remoto, o ensino remoto é mais rápido, fácil e não é tão complicado.","I intend to learn new things, evolve, have good expectations regarding remote education, remote teaching is faster, easy and not so complicated.",i intend learn new things evolve good expectations regarding remote education remote teaching faster easy complicated ,i intend learn new things evolve good expectations regarding remote education remote teaching faster easy complicated ,0
"Terminei o ensino médio ano passado, acredito que seja de conhecimento de todos,  foi realizado em ensino remoto, portanto, já tenho uma base do que se passa. Espero poder ter aprendizado em uma margem parecida com presencial, ver os professores e alunos interagirem de forma que todos tenham suas dúvidas solucionadas, e que de tal forma, possamos concluir com maestria todos os periodos, superando o momento difícil, e encarando de frente todas essas inovações que vem trazendo o ensino não presencial. ","I finished high school last year, I believe that it is knowledge of all, was carried out in remote education, so I already have a base of what is happening.I hope to have learned on a face-to-face margin, see teachers and students to interact in a way that everyone has their questions solved, and that in such a way, we can conclude with mastery all periods, surpassing the difficult time, and facing allThese innovations that have been bringing non-face-to-face teaching.",i finished high school last year i believe knowledge carried remote education i already base hope learned margin see teachers students interact way everyone questions solved way conclude mastery periods surpassing difficult time facing allthese innovations bringing teaching ,i finished high school last year i believe knowledge carried remote education i already base hope learned margin see teachers students interact way everyone questions solved way conclude mastery periods surpassing difficult time facing allthese innovations bringing teaching ,1
"Bom, me sinto ansiosa e incerta quanto ao ensino remoto, pois não tenho muito conhecimento nesta modalidade de ensino, acho um pouco confuso quanto aos e-mails e informações dadas até o momento mais acredito que isso ira melhorar ao passar do tempo e irei me acostumar.
Observei que o planejamento e as ferramentas usadas até o momento para as atividades remotas foram muito bem organizadas e explicadas  diferente da minha antiga escola, o que me deixa mais tranquila em relação ao ensino, mas espero voltarmos em breve para as atividades presenciais.","Well, I feel anxious and uncertain about remote education, because I do not have much knowledge in this teaching modality, I find a little confusing about the emails and information given until the moment I believe that this will improve during time and I willAccuming.
I noticed that the planning and tools used so far for remote activities were very well organized and explained different from my old school, which makes me quieter in relation to teaching, but I hope to return soon for face-to-face activities.",well i feel anxious uncertain remote education i much knowledge teaching modality i find little confusing emails information given moment i believe improve time i willaccuming i noticed planning tools used far remote activities well organized explained different old school makes quieter relation teaching i hope return soon activities ,well i feel anxious uncertain remote education i much knowledge teaching modality i find little confusing emails information given moment i believe improve time i willaccuming i noticed planning tools used far remote activities well organized explained different old school makes quieter relation teaching i hope return soon activities ,0
"Eu espero que o ensino remoto seja bem produtivo, que eu consiga adquirir novos conhecimento em todas as disciplinas, que eu possa sanar o máximo de dúvidas possíveis, que traga esclarecimento e aprendizado afim de promover enriquecimento intelectual.

Tenho consciência de que estamos vivendo em tempos difíceis e que tais objetivos podem ser complicados de se pôr em prática, mas creio que com o auxílio da instituição e seus professores e de meu empenho, enquanto aluna, será possível ultrapassarmos essa barreira juntos.

Quanto a minha opinião acerca dessa modalidade de ensino, diria que será desafiador e exigirá, não apenas de mim, muita resiliência, porém em virtude do atual momento em que vivemos, é o meio mais seguro que viabiliza a continuidade da aprendizagem e nos mantém em contato com a mesma.","I hope that remote teaching is very productive, which I can acquire new knowledge in all disciplines, which I can heal the most possible doubts, which brings clarification and learning in order to promote intellectual enrichment.

I am aware that we are living in difficult times and that such objectives can be complicated to put into practice, but I believe that with the help of the institution and their teachers and my commitment, while a student, it will be possible to overtake this barrier together.

As for my opinion on this modality of teaching, I would say that it will be challenging and will require, not only of me, a lot of resilience, but by virtue of the current moment in which we live, it is the safest means that enables the continuity of learning and maintainscontact with it.",i hope remote teaching productive i acquire new knowledge disciplines i heal possible doubts brings clarification learning order promote intellectual enrichment i aware living difficult times objectives complicated put practice i believe help institution teachers commitment student possible overtake barrier together as opinion modality teaching i would say challenging require lot resilience virtue current moment live safest means enables continuity learning maintainscontact ,i hope remote teaching productive i acquire new knowledge disciplines i heal possible doubts brings clarification learning order promote intellectual enrichment i aware living difficult times objectives complicated put practice i believe help institution teachers commitment student possible overtake barrier together as opinion modality teaching i would say challenging require lot resilience virtue current moment live safest means enables continuity learning maintainscontact ,1
"Esse tipo de ensino é novo pra mim, mas creio que nos sairemos tão bem quanto no ensino presencial. Estou com boas expectativas. Claro que seria muito bom se fosse presencial, mas com a atual situação de pandemia, infelizmente não acho que voltaremos tão cedo. Contudo, enquanto isso não acontece vamos aproveitar o ensino remoto. Querendo ou não é uma nova experiência. ","This kind of teaching is new to me, but I believe that we will leave as well as in face-to-face teaching.I have good expectations.Of course it would be very good if it were face-to-face, but with the current pandemic situation, unfortunately I do not think we'll be back soon.However, while this does not happen let's take advantage of remote teaching.Whether or not it is a new experience.",this kind teaching new i believe leave well good course would good current pandemic situation unfortunately i think back happen let take advantage remote new experience ,this kind teaching new i believe leave well good course would good current pandemic situation unfortunately i think back happen let take advantage remote new experience ,0
"Acho muito importante, como não podemos assistir aula precisencialmente, e uma forma adequada de ensino. Mas podemos ver uma falta de entusiasmos pelos alunos que geralmente só deixam as aulas rodando no aparelho e ficam fazendo outras coisas. Na minha opinião pra esse ser um método mas aceitável todos devem colaborar pra aprender e ensinar.","I find it very important, as we can not attend less class, and an adequate form of teaching.But we can see a lack of enthusiasm for students who usually only leave classes turning on the device and doing other things.In my opinion for this being a method but acceptable everyone should collaborate to learn and teach.",i find important attend less class adequate form see lack enthusiasm students usually leave classes turning device opinion method acceptable everyone collaborate learn teach ,i find important attend less class adequate form see lack enthusiasm students usually leave classes turning device opinion method acceptable everyone collaborate learn teach ,1
"Espero que mesmo com as dificuldades do ensino remoto eu consiga adquirir o conhecimento que preciso para uma boa formação. Tenho ótimas perspectivas para o futuro, pois sei que no Instituto há ótimos técnicos e profissionais que nos ajudaram em nossa jornada por busca de novos conhecimentos.
","I hope that even with the difficulties of remote teaching I can acquire the knowledge I need for good training.I have great perspectives for the future, because I know that at the Institute there are great technicians and professionals who helped us on our journey by searching for new knowledge.",i hope even difficulties remote teaching i acquire knowledge i need good great perspectives future i know institute great technicians professionals helped us journey searching new knowledge ,i hope even difficulties remote teaching i acquire knowledge i need good great perspectives future i know institute great technicians professionals helped us journey searching new knowledge ,1
"Eu espero que seja muito bom, de muito proveito, pois sei que não está sendo fácil, tanto pros alunos, quanto pros professores o ensino a distância, pois não é a mesma coisa do ensino presencial, não podemos interagir pessoalmente uns com os outros e também muitos alunos não tem acesso a uma internet boa, etc.  Mas creio que será um ótimo ensino e um ótimo ano.","I hope it is very good, of much profit, because I know it is not being easy, both pros, and for teachers distance teachers, because it is not the same in the face-to-face teaching, we can not personally interact with each other andAlso many students do not have access to a good internet, etc.But I believe it will be a great teaching and a great year.",i hope good much profit i know easy pros teachers distance teachers teaching personally interact andalso many students access good internet i believe great teaching great year ,i hope good much profit i know easy pros teachers distance teachers teaching personally interact andalso many students access good internet i believe great teaching great year ,2
"As minhas expectativas são boas, tenho a esperança que vamos nos acostumar rápido com esse modelo de ensino, por mais que não seja a mais eficaz é a única que temos acesso no momento, então teremos que nos esforçar e esperar que as aulas presenciais voltem com todo o cuidado e organização,","My expectations are good, I hope that we are going to get used quickly with this teaching model, however much it is not the most effective is the only one we have access at the moment, then we will have to strive and expect that face-to-face classes come back withall care and organization,",my expectations good i hope going get used quickly teaching model however much effective one access moment strive expect classes come back withall care organization ,my expectations good i hope going get used quickly teaching model however much effective one access moment strive expect classes come back withall care organization ,2
"   O ensino é muito bom e a forma de ensino é muito organizada, porém são vários conteúdos lançados de uma vez só para os alunos, e muitas vezes o Google Classroom  não está em todas as salas, mas o nível de ensino é altíssimo só elogios a forma de ensino.","Teaching is very good and the form of teaching is very organized, but there are several contents released at once only for students, and often google classroom is not in all rooms, but the level of education is very high only praiseform of teaching.",teaching good form teaching organized several contents released students often google classroom rooms level education high praiseform teaching ,teaching good form teaching organized several contents released students often google classroom rooms level education high praiseform teaching ,2
"Eu acho um pouco difícil pois nós não temos contato direto com o professor para sanar dúvidas e em algumas matérias como Matemática e Português é essencial, não gosto muito pois é mais fácil de se distrair e mais difícil de aprender.","I find it a little difficult because we do not have direct contact with the teacher to heal doubts and in some matters as mathematics and Portuguese is essential, I do not like much because it is easier to distract and more difficult to learn.",i find little difficult direct contact teacher heal doubts matters mathematics portuguese essential i like much easier distract difficult learn ,i find little difficult direct contact teacher heal doubts matters mathematics portuguese essential i like much easier distract difficult learn ,0
"Os ensino remoto mesmo sendo uma coisa que nos alunos nunca tínhamos participidado, acabou se tornando cotidiano pra nós, então de certa forma com o passar do tempo fomos nos adaptando, e com isso as ferramentas de ensino para tais atividades acabaram se tornando fáceis para o nosso uso. ","The remote teaching even being one thing that in the students we had never participated, ended up becoming everyday for us, so in a certain way over time we went adapting, and with this the teaching tools for such activities ended up becoming easy forOur use.",the remote teaching even one thing students never participated ended becoming everyday us certain way time went adapting teaching tools activities ended becoming easy forour use ,the remote teaching even one thing students never participated ended becoming everyday us certain way time went adapting teaching tools activities ended becoming easy forour use ,0
"ESPERO QUE AS AULAS SEJAM PRODUTIVAS ASSIM COMO NO PRESENCIAL E QUE O ACESSO ACONTEÇA DE FORMA SIMPLES E FACÍCL, PROPOCIONANDO UMA BOA APRENDIZAGEM.","I hope the classes are productive as well as in the face-to-face and that access happens simply and faciques, propocating good learning.",i hope classes productive well access happens simply faciques propocating good learning ,i hope classes productive well access happens simply faciques propocating good learning ,2
